	BLS001A	BLS010A	BLS010A_2	BLS002A	BLS003A	BLS010A_3	BLS001A_2	BLS001A_3	BLS002A_2	BLS003A_2	BLS003A_3	BLS002A_3
METHYL BETA-D-GALACTOSIDE	0	0	0	507600	0	0	0	0	0	0	0	0
N(PAI)-METHYL-L-HISTIDINE	11400000	14000000	16100000	2919163	28800000	15800000	11600000	12300000	2193798	16700000	16100000	2207430
N1-Methyl-2-pyridone-5-carboxamide_R1	279174	2459014	3221002	300326	215203	3975407	996976	841893	2574810	1645932	1664545	2551774
N1-Methyl-2-pyridone-5-carboxamide_R2	275220	2231716	2889526	271959	187755	3657396	285238	322457	732714	868400	1026250	701785
N1-Methyl-4-pyridone-5-carboxamide	2020143	12100000	15000000	2271880	1875992	16700000	5053066	4614470	12200000	13600000	11000000	12000000
N-Acetyl-Arginine	101128	382624	413810	64945	50352	347574	366408	395825	342438	361820	295239	339614
N-ACETYL-L-ASPARTIC ACID	72907	117936	138100	57222	51990	109981	156328	154077	201867	196431	203185	193398
N-ALPHA-ACETYL-L-LYSINE	2117307	6447238	7834932	1167364	282754	7608493	7065714	7586128	5512439	3093961	2566152	5714509
N-BOC-L-Aspartic Acid_R1	14400000	13300000	13100000	12900000	13300000	11000000	11900000	13100000	11000000	13500000	12800000	10900000
N-BOC-L-Aspartic Acid_R2	788122	976009	1133355	746734	730797	1358203	1400345	1378940	1116754	1242486	1021465	1211479
N-BOC-L-tert-Leucine	14400000	11100000	13200000	12400000	12200000	10800000	12700000	14000000	11900000	15400000	13400000	11700000
N-BOC-L-Tryptophan_R1	32300000	26200000	30400000	30700000	33600000	27200000	28500000	28400000	28300000	27200000	28000000	27400000
N-BOC-L-Tryptophan_R2	3352987	2690597	3398476	3628435	4022371	3506778	3199390	3072706	3352617	2813012	2980718	3062418
NICOTINAMIDE_R1	6897200	5265036	3234839	3432638	4369835	5177225	18100000	18300000	9405989	33300000	19100000	11600000
NICOTINAMIDE_R2	4768670	13500000	22100000	252797	1344442	23400000	16100000	15100000	19900000	9627780	4733593	15700000
NICOTINAMIDE MONONUCLEOTIDE	27900000	45500000	50200000	7241241	4156387	53000000	94300000	87100000	23000000	37500000	25800000	24400000
NICOTINAMIDE-N-OXIDE	82940	215278	234554	53673	45842	223341	239795	227389	229336	156192	135778	251794
N-METHYL-D-ASPARTIC ACID	96900000	210000000	200000000	200000000	26700000	194000000	154000000	163000000	174000000	79300000	69700000	187000000
Octanoylcarnitine	147842	436812	516018	133320	85181	551341	378366	343205	746514	757803	493231	912257
ORNITHINE	745025	1630020	1415197	1222873	480688	1430690	748904	695877	1155839	525640	672951	1160361
Orthophosphate	4167405	2947857	2501652	7025341	2343998	2110987	1971366	2145401	1418138	1839870	1914384	1666769
Pantothenic Acid	35000000	235000000	290000000	10800000	11800000	288000000	138000000	140000000	71900000	112000000	91900000	76600000
Phenylalanine	26100000	138000000	163000000	21300000	6814622	146000000	89500000	96200000	71100000	55600000	37000000	82300000
PHOSPHOCHOLINE	717000000	1410000000	1510000000	527000000	432000000	1470000000	1260000000	1320000000	851000000	1120000000	1000000000	827000000
PIPECOLATE/L-PIPECOLIC ACID_R1	12300000	4798671	6122005	4507402	1094428	5470439	35800000	36200000	14400000	8805356	6556988	14200000
PIPECOLATE/L-PIPECOLIC ACID_R2	2892874	4287032	5042040	1549322	886319	4648172	9466059	9674856	6001797	8545745	6659124	5849706
Proprionylcarnitine	29200000	55500000	65900000	20900000	11200000	74200000	94700000	84600000	63300000	67600000	57600000	67500000
PYRIDINE-2,3-DICARBOXYLATE	144019	280381	297546	122829	107790	185350	258512	330528	161149	572232	441740	199770
PYRIDOXAL	7300920	15500000	19600000	4685234	2424046	20200000	17500000	17000000	14700000	18500000	13900000	16300000
QUINATE_R1	929687	391505	537490	87845	70607	655044	770310	578433	625470	538552	515658	528205
QUINATE_R2	254205	704632	909738	186040	162031	944300	793972	764400	904220	845865	745571	809613
SPERMIDINE	5600973	49000000	8190723	48800000	2057960	29000000	35500000	24200000	18900000	30700000	28200000	58000000
SPERMINE	730688	8365555	1156766	4301491	608416	5068831	9041641	6681306	4451617	8474068	6076797	13900000
Stachydrine	4068280	1038024	1269079	495174	19700000	1146143	10800000	11300000	2073422	120000000	97100000	1993478
TAURINE	12000000	13000000	9029570	23300000	21800000	9315264	5126436	5309960	9162842	10200000	19000000	8033420
THREONINE/HOMOSERINE	4327685	12400000	14200000	8839897	1613134	12200000	8212048	8167540	17100000	5934111	5165789	17100000
Trigonelline	9998955	12200000	12200000	6416987	7352245	12100000	15900000	16700000	16400000	19400000	17100000	17200000
Tryptophan	9068285	18900000	21900000	4503465	1657820	21000000	33400000	32500000	21300000	7594509	5355608	24800000
Tryptophan-2,3,3-D3	106000000	109000000	107000000	104000000	106000000	100000000	107000000	105000000	95100000	108000000	101000000	104000000
Tryptophan-2,3,3-D3-NH3	43400000	44900000	43900000	42700000	44000000	40900000	43600000	42900000	38500000	44700000	41000000	42500000
Tryptophan-NH3	3928661	8267473	9672573	1973751	738823	9002842	14500000	14400000	9251853	3223889	2387437	10800000
URATE	32300000	92800000	102000000	32200000	18800000	84200000	70700000	76500000	61000000	154000000	110000000	67700000
URIDINE	1121536	2280159	2401690	1656640	119217	3852157	3767735	3337448	4492772	1822410	1401903	5158994
UROCANATE	2081888	9862767	11500000	2034716	3014694	13100000	4515400	4040801	15500000	22700000	16500000	15000000
Ursodeoxycholic Acid (UDCA)_R1	0	0	0	0	0	0	0	0	0	0	0	0
Ursodeoxycholic Acid (UDCA)_R2	0	0	0	0	0	0	0	0	0	0	0	0
Xanthurenic Acid	184931	70983	88659	23204	99129	72100	727879	712893	153689	837875	590580	170660
