	Standardized_name	Formula	Exact_mass	Super_class	Main_class	Sub_class	Pubchem_CID	CHEBI_ID	HMDB_ID	LM_ID	KEGG_ID	INCHI_KEY	REFMET_ID
L-Phenylalanine 13C6	Phenylalanine	C9H11NO2	165.079	Organic acids	Amino acids and peptides	Amino acids	6140	17295	HMDB0000159		C00079	COLNVLDHVKWLRT-QMMMGPOBSA-N	RM0135897
L-PROLINE	Proline	C5H9NO2	115.0633	Organic acids	Amino acids and peptides	Amino acids	145742	17203	HMDB0000162		C00148	ONIBWKKTOPOVIA-BYPYZUCNSA-N	RM0135899
L-SERINE	Serine	C3H7NO3	105.0426	Organic acids	Amino acids and peptides	Amino acids	5951	17115	HMDB0000187		C00065	MTCFGRXMJLQNBG-REOHCLBHSA-N	RM0032433
L-Tyrosine 13C6	Tyrosine	C9H11NO3	181.0739	Organic acids	Amino acids and peptides	Amino acids	6057	17895	HMDB0000158		C00082	OUYCCCASQSFEME-QMMMGPOBSA-N	RM0135896
LysoPC (16:0)	LPC 16:0	C24H50NO7P	495.3325	Glycerophospholipids	Glycerophosphocholines	LPC							RM0134475
LysoPC (16:1)	LPC 16:1	C24H48NO7P	493.3168	Glycerophospholipids	Glycerophosphocholines	LPC							RM0048603
LysoPC (18:2)	LPC 18:2	C26H50NO7P	519.3325	Glycerophospholipids	Glycerophosphocholines	LPC							RM0048598
LysoPC (20:4)	LPC 20:4	C28H50NO7P	543.3325	Glycerophospholipids	Glycerophosphocholines	LPC							RM0048636
LysoPE (18:0)	LPE 18:0	C23H48NO7P	481.3168	Glycerophospholipids	Glycerophosphoethanolamines	LPE							RM0017276
LysoPE (18:1)_R1	LPE 18:1	C23H46NO7P	479.3012	Glycerophospholipids	Glycerophosphoethanolamines	LPE							RM0104274
LysoPE (18:1)_R2	LPE 18:1	C23H46NO7P	479.3012	Glycerophospholipids	Glycerophosphoethanolamines	LPE							RM0104274
LysoPE (22:6)	LPE 22:6	C27H44NO7P	525.2855	Glycerophospholipids	Glycerophosphoethanolamines	LPE							RM0134455
METHYL BETA-D-GALACTOSIDE	Methyl beta-D-galactoside	C7H14O6	194.079	Carbohydrates	Monosaccharides	Hexoses	94214	17540			C03619	HOVAGTYPODGVJG-VOQCIKJUSA-N	RM0136745
N(PAI)-METHYL-L-HISTIDINE	3-Methylhistidine	C7H11N3O2	169.0851	Organic acids	Amino acids and peptides	Amino acids	64969	27596	HMDB0000479		C01152	JDHILDINMRGULE-LURJTMIESA-N	RM0135956
N1-Methyl-2-pyridone-5-carboxamide_R1	N1-Methyl-2-pyridone-5-carboxamide	C7H8N2O2	152.0586	Alkaloids	Pyridine alkaloids	Nicotinic acid alkaloids	69698	27410	HMDB0004193		C05842	JLQSXXWTCJPCBC-UHFFFAOYSA-N	RM0030027
N1-Methyl-2-pyridone-5-carboxamide_R2	N1-Methyl-2-pyridone-5-carboxamide	C7H8N2O2	152.0586	Alkaloids	Pyridine alkaloids	Nicotinic acid alkaloids	69698	27410	HMDB0004193		C05842	JLQSXXWTCJPCBC-UHFFFAOYSA-N	RM0030027
N1-Methyl-4-pyridone-5-carboxamide	N1-Methyl-4-pyridone-3-carboxamide	C7H8N2O2	152.0586	Alkaloids	Pyridine alkaloids	Nicotinic acid alkaloids	440810	27838	HMDB0004194		C05843	KTLRWTOPTKGYQY-UHFFFAOYSA-N	RM0108767
N-Acetyl-Arginine	N-Acetylarginine	C8H16N4O3	216.1222	Organic acids	Amino acids and peptides	Amino acids	67427	40521	HMDB0004620			SNEIUMQYRCDYCH-LURJTMIESA-N	RM0132228
N-ACETYL-L-ASPARTIC ACID	N-Acetylaspartic acid	C6H9NO5	175.0481	Organic acids	Amino acids and peptides	Amino acids	65065	21547	HMDB0000812		C01042	OTCCIMWXFLJLIA-BYPYZUCNSA-N	RM0136005
N-ALPHA-ACETYL-L-LYSINE	N(2)-Acetyllysine	C8H16N2O3	188.1161	Organic acids	Amino acids and peptides	Amino acids	92907	35704	HMDB0000446		C12989	VEYYWZRYIYDQJM-ZETCQYMHSA-N	RM0132215
N-BOC-L-Aspartic Acid_R1	Aspartic acid	C4H7NO4	133.0375	Organic acids	Amino acids and peptides	Amino acids	5960	17053	HMDB0000191		C00049	CKLJMWTZIZZHCS-REOHCLBHSA-N	RM0135905
N-BOC-L-Aspartic Acid_R2	Aspartic acid	C4H7NO4	133.0375	Organic acids	Amino acids and peptides	Amino acids	5960	17053	HMDB0000191		C00049	CKLJMWTZIZZHCS-REOHCLBHSA-N	RM0135905
N-BOC-L-tert-Leucine	-						-	-	-	-	-	-	-
N-BOC-L-Tryptophan_R1	Tryptophan	C11H12N2O2	204.0899	Organic acids	Amino acids and peptides	Amino acids	6305	16828	HMDB0000929		C00078	QIVBCDIJIAJPQS-VIFPVBQESA-N	RM0136024
N-BOC-L-Tryptophan_R2	Tryptophan	C11H12N2O2	204.0899	Organic acids	Amino acids and peptides	Amino acids	6305	16828	HMDB0000929		C00078	QIVBCDIJIAJPQS-VIFPVBQESA-N	RM0136024
NICOTINAMIDE_R1	Niacinamide	C6H6N2O	122.048	Alkaloids	Pyridine alkaloids	Nicotinic acid alkaloids	936	17154	HMDB0001406		C00153	DFPAKSUCGFBDDF-UHFFFAOYSA-N	RM0156450
NICOTINAMIDE_R2	Niacinamide	C6H6N2O	122.048	Alkaloids	Pyridine alkaloids	Nicotinic acid alkaloids	936	17154	HMDB0001406		C00153	DFPAKSUCGFBDDF-UHFFFAOYSA-N	RM0156450
NICOTINAMIDE MONONUCLEOTIDE	Nicotinamide ribotide	C11H15N2O8P	334.0566	Alkaloids	Pyridine alkaloids	Nicotinic acid alkaloids	14180	16171	HMDB0000229		C00455	DAYLJWODMCOQEW-TURQNECASA-N	RM0135915
NICOTINAMIDE-N-OXIDE	Nicotinamide N-oxide	C6H6N2O2	138.0429	Alkaloids	Pyridine alkaloids	Nicotinic acid alkaloids	72661	89640	HMDB0002730			USSFUVKEHXDAPM-UHFFFAOYSA-N	RM0040293
N-METHYL-D-ASPARTIC ACID	N-Methyl-D-aspartic acid	C5H9NO4	147.0532	Organic acids	Amino acids and peptides	Amino acids	22880	31882	HMDB0002393		C12269	HOKKHZGPKSLGJE-GSVOUGTGSA-N	RM0136188
Octanoylcarnitine	CAR 8:0	C15H29NO4	287.2097	Fatty Acyls	Fatty esters	Acyl carnitines	11953814	18102	HMDB0000791	LMFA07070002	C02838	CXTATJFJDMJMIY-CYBMUJFWSA-N	RM0154093
ORNITHINE	Ornithine	C5H12N2O2	132.0899	Organic acids	Amino acids and peptides	Amino acids	6262	15729	HMDB0000214		C00077	AHLPHDHHMVZTML-BYPYZUCNSA-N	RM0135912
Orthophosphate	Phosphoric acid	H3O4P	97.9769	Inorganic compounds	Phosphorus inorganic compounds	Phosphates	1004	26078	HMDB0001429		C00009	NBIIXXVUZAFLBC-UHFFFAOYSA-N	RM0032341
Pantothenic Acid	Pantothenic acid	C9H17NO5	219.1107	Organic acids	Amino acids and peptides	Amino acids	6613	46905	HMDB0000210	LMFA08020419		GHOKWGTUZJEAQD-ZETCQYMHSA-N	RM0136730
Phenylalanine	Phenylalanine	C9H11NO2	165.079	Organic acids	Amino acids and peptides	Amino acids	6140	17295	HMDB0000159		C00079	COLNVLDHVKWLRT-QMMMGPOBSA-N	RM0135897
PHOSPHOCHOLINE	Choline phosphate	C5H14NO4P	183.066	Organic nitrogen compounds	Cholines	Cholines	135437	18132	HMDB0001565			YHHSONZFOIEMCP-UHFFFAOYSA-N	RM0007522
PIPECOLATE/L-PIPECOLIC ACID_R1	Pipecolic acid	C6H11NO2	129.079	Organic acids	Amino acids and peptides	Amino acids	439227	30913	HMDB0000716		C00408	HXEACLLIILLPRG-YFKPBYRVSA-N	RM0135981
PIPECOLATE/L-PIPECOLIC ACID_R2	Pipecolic acid	C6H11NO2	129.079	Organic acids	Amino acids and peptides	Amino acids	439227	30913	HMDB0000716		C00408	HXEACLLIILLPRG-YFKPBYRVSA-N	RM0135981
